,level_0,index,Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
0,0,0,Afghanistan,Ireland,Ireland,5 wickets,Colombo (PSS),"Feb 1, 2010",T20I # 128
1,1,1,Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),"Feb 1, 2010",T20I # 129
2,2,2,Canada,Ireland,Canada,4 runs,Colombo (SSC),"Feb 3, 2010",T20I # 130
3,3,3,New Zealand,Bangladesh,New Zealand,10 wickets,Hamilton,"Feb 3, 2010",T20I # 131
4,4,4,Afghanistan,Canada,Afghanistan,5 wickets,Colombo (SSC),"Feb 4, 2010",T20I # 132
5,5,5,Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),"Feb 4, 2010",T20I # 133
6,6,6,Australia,Pakistan,Australia,2 runs,Melbourne,"Feb 5, 2010",T20I # 134
7,7,7,Afghanistan,Ireland,Afghanistan,13 runs,Dubai (DSC),"Feb 9, 2010",T20I # 135
8,8,8,Canada,Netherlands,Netherlands,6 wickets,Dubai (DSC),"Feb 9, 2010",T20I # 136
9,9,9,Afghanistan,Scotland,Afghanistan,14 runs,Abu Dhabi,"Feb 10, 2010",T20I # 137
10,10,10,Canada,Kenya,Kenya,9 wickets,Dubai (DSC),"Feb 10, 2010",T20I # 138
11,11,11,Kenya,Netherlands,Netherlands,7 wickets,Abu Dhabi,"Feb 11, 2010",T20I # 139
12,12,12,Ireland,Scotland,Ireland,37 runs,Dubai (DSC),"Feb 11, 2010",T20I # 140
13,13,13,Afghanistan,Netherlands,Netherlands,4 wickets,Dubai (DSC),"Feb 12, 2010",T20I # 141
14,14,14,Ireland,Netherlands,Ireland,65 runs,Dubai (DSC),"Feb 13, 2010",T20I # 142
15,15,15,Afghanistan,Ireland,Afghanistan,8 wickets,Dubai (DSC),"Feb 13, 2010",T20I # 143
16,16,16,England,Pakistan,England,7 wickets,Dubai (DSC),"Feb 19, 2010",T20I # 144
17,17,17,England,Pakistan,Pakistan,4 wickets,Dubai (DSC),"Feb 20, 2010",T20I # 145
