,level_0,index,Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
0,0,0,Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,"Jan 4, 2010",ODI # 2937
1,1,1,India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Jan 5, 2010",ODI # 2938
2,2,2,Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010",ODI # 2939
3,3,3,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"Jan 8, 2010",ODI # 2940
4,4,4,India,Sri Lanka,India,8 wickets,Dhaka,"Jan 10, 2010",ODI # 2941
5,5,5,Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010",ODI # 2942
6,6,6,India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,"Jan 13, 2010",ODI # 2943
7,7,7,Australia,Pakistan,Australia,5 wickets,Brisbane,"Jan 22, 2010",ODI # 2944
8,8,8,Australia,Pakistan,Australia,140 runs,Sydney,"Jan 24, 2010",ODI # 2945
9,9,9,Australia,Pakistan,Australia,40 runs,Adelaide,"Jan 26, 2010",ODI # 2946
10,10,10,Australia,Pakistan,Australia,135 runs,Perth,"Jan 29, 2010",ODI # 2947
11,11,11,Australia,Pakistan,Australia,2 wickets,Perth,"Jan 31, 2010",ODI # 2948
12,12,12,New Zealand,Bangladesh,New Zealand,146 runs,Napier,"Feb 5, 2010",ODI # 2949
13,13,13,Australia,West Indies,Australia,113 runs,Melbourne,"Feb 7, 2010",ODI # 2950
14,14,14,New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,"Feb 8, 2010",ODI # 2951
15,15,15,Australia,West Indies,Australia,8 wickets,Adelaide,"Feb 9, 2010",ODI # 2952
16,16,16,New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,"Feb 11, 2010",ODI # 2953
17,17,17,Australia,West Indies,no result,,Sydney,"Feb 12, 2010",ODI # 2954
18,18,18,Australia,West Indies,Australia,50 runs,Brisbane,"Feb 14, 2010",ODI # 2955
19,19,19,Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym),"Feb 16, 2010",ODI # 2956
20,20,20,Afghanistan,Canada,Afghanistan,1 run,Sharjah,"Feb 16, 2010",ODI # 2957
21,21,21,Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym),"Feb 18, 2010",ODI # 2958
22,22,22,Afghanistan,Canada,Canada,4 wickets,Sharjah,"Feb 18, 2010",ODI # 2959
23,23,23,Australia,West Indies,Australia,125 runs,Melbourne,"Feb 19, 2010",ODI # 2960
24,24,24,India,South Africa,India,1 run,Jaipur,"Feb 21, 2010",ODI # 2961
25,25,25,India,South Africa,India,153 runs,Gwalior,"Feb 24, 2010",ODI # 2962
26,26,26,India,South Africa,South Africa,90 runs,Ahmedabad,"Feb 27, 2010",ODI # 2963
27,27,27,Bangladesh,England,England,6 wickets,Dhaka,"Feb 28, 2010",ODI # 2964
28,28,28,Bangladesh,England,England,2 wickets,Dhaka,"Mar 2, 2010",ODI # 2965
29,29,29,New Zealand,Australia,New Zealand,2 wickets,Napier,"Mar 3, 2010",ODI # 2966
30,30,30,West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,"Mar 4, 2010",ODI # 2967
31,31,31,Bangladesh,England,England,45 runs,Chattogram,"Mar 5, 2010",ODI # 2968
32,32,32,New Zealand,Australia,Australia,12 runs,Auckland,"Mar 6, 2010",ODI # 2969
33,33,33,West Indies,Zimbabwe,West Indies,4 wickets,Providence,"Mar 6, 2010",ODI # 2970
34,34,34,New Zealand,Australia,Australia,6 wickets,Hamilton,"Mar 9, 2010",ODI # 2971
35,35,35,West Indies,Zimbabwe,West Indies,141 runs,Kingstown,"Mar 10, 2010",ODI # 2972
36,36,36,New Zealand,Australia,Australia,6 wickets,Auckland,"Mar 11, 2010",ODI # 2973
37,37,37,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,"Mar 12, 2010",ODI # 2974
38,38,38,New Zealand,Australia,New Zealand,51 runs,Wellington,"Mar 13, 2010",ODI # 2975
39,39,39,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,"Mar 14, 2010",ODI # 2976
40,40,40,West Indies,Canada,West Indies,208 runs,Kingston,"Apr 13, 2010",ODI # 2977
41,41,41,West Indies,Ireland,West Indies,6 wickets,Kingston,"Apr 15, 2010",ODI # 2978
42,42,42,West Indies,South Africa,South Africa,66 runs,North Sound,"May 22, 2010",ODI # 2979
43,43,43,West Indies,South Africa,South Africa,17 runs,North Sound,"May 24, 2010",ODI # 2980
44,44,44,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,"May 28, 2010",ODI # 2981
