,index,Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
0,0,New Zealand,West Indies,New Zealand,3 wickets,Auckland,"Jan 2, 2000",ODI # 1532
1,1,New Zealand,West Indies,New Zealand,7 wickets,Taupo,"Jan 4, 2000",ODI # 1533
2,2,New Zealand,West Indies,New Zealand,4 wickets,Napier,"Jan 6, 2000",ODI # 1534
3,3,New Zealand,West Indies,New Zealand,8 wickets,Wellington,"Jan 8-9, 2000",ODI # 1535
4,4,Australia,Pakistan,Pakistan,45 runs,Brisbane,"Jan 9, 2000",ODI # 1536
5,5,India,Pakistan,Pakistan,2 wickets,Brisbane,"Jan 10, 2000",ODI # 1537
6,6,New Zealand,West Indies,New Zealand,20 runs,Christchurch,"Jan 11, 2000",ODI # 1538
7,7,Australia,India,Australia,28 runs,Melbourne,"Jan 12, 2000",ODI # 1539
8,8,Australia,India,Australia,5 wickets,Sydney,"Jan 14, 2000",ODI # 1540
9,9,Australia,Pakistan,Australia,6 wickets,Melbourne,"Jan 16, 2000",ODI # 1541
10,10,Australia,Pakistan,Australia,81 runs,Sydney,"Jan 19, 2000",ODI # 1542
11,11,India,Pakistan,Pakistan,32 runs,Hobart,"Jan 21, 2000",ODI # 1543
12,12,South Africa,Zimbabwe,South Africa,6 wickets,Johannesburg,"Jan 21, 2000",ODI # 1544
13,13,Australia,Pakistan,Australia,15 runs,Melbourne,"Jan 23, 2000",ODI # 1545
14,14,South Africa,England,England,9 wickets,Bloemfontein,"Jan 23, 2000",ODI # 1546
15,15,India,Pakistan,India,48 runs,Adelaide,"Jan 25, 2000",ODI # 1547
16,16,Australia,India,Australia,152 runs,Adelaide,"Jan 26, 2000",ODI # 1548
17,17,South Africa,England,South Africa,1 run,Cape Town,"Jan 26, 2000",ODI # 1549
18,18,India,Pakistan,Pakistan,104 runs,Perth,"Jan 28, 2000",ODI # 1550
19,19,England,Zimbabwe,Zimbabwe,104 runs,Cape Town,"Jan 28, 2000",ODI # 1551
20,20,Australia,India,Australia,4 wickets,Perth,"Jan 30, 2000",ODI # 1552
21,21,England,Zimbabwe,England,8 wickets,Kimberley,"Jan 30, 2000",ODI # 1553
22,22,Australia,Pakistan,Australia,6 wickets,Melbourne,"Feb 2, 2000",ODI # 1554
23,23,South Africa,Zimbabwe,Zimbabwe,2 wickets,Durban,"Feb 2, 2000",ODI # 1555
24,24,Australia,Pakistan,Australia,152 runs,Sydney,"Feb 4, 2000",ODI # 1556
25,25,South Africa,England,South Africa,2 wickets,East London,"Feb 4, 2000",ODI # 1557
26,26,South Africa,Zimbabwe,South Africa,53 runs,Port Elizabeth,"Feb 6, 2000",ODI # 1558
27,27,Pakistan,Sri Lanka,Sri Lanka,29 runs,Karachi,"Feb 13, 2000",ODI # 1559
28,28,South Africa,England,South Africa,38 runs,Johannesburg,"Feb 13, 2000",ODI # 1560
29,29,Pakistan,Sri Lanka,Sri Lanka,34 runs,Gujranwala,"Feb 16, 2000",ODI # 1561
